notriad;no_order;emotion;FINAL
1;1;3;6.3485
1;1;3;13.6588
1;1;3;7.8710
1;1;3;4.9714
1;1;3;7.4993
1;1;3;15.2037
1;1;3;5.7566
1;1;3;12.0222
1;1;3;12.4544
1;1;3;6.6440
1;1;3;4.5757
1;1;3;0.8059
1;1;3;5.4124
1;1;3;13.8847
1;1;3;4.9289
1;1;3;5.9821
1;1;3;6.2835
1;1;3;3.7103
1;1;3;7.9519
1;1;3;4.6949
1;1;3;3.6814
1;1;3;13.8165
1;1;3;1.2339
1;1;3;1.1347
1;1;3;5.1809
1;1;3;7.2492
1;1;3;12.3735
1;1;3;7.1717
1;1;3;4.3011
1;1;3;7.1533
1;1;3;6.5921
1;1;3;13.9725
1;1;3;8.1146
1;1;3;5.8679
1;1;3;7.7430
1;1;3;15.4421
1;1;3;8.3914
1;1;3;12.2524
1;1;3;12.6980
1;1;3;2.0391
1;1;3;3.6365
1;1;3;8.7930
1;1;3;3.5338
1;1;3;5.6978
1;1;3;3.5153
1;1;3;2.9541
1;1;3;10.2777
1;1;3;4.4766
1;1;3;2.8677
1;1;3;4.1050
1;1;3;11.8060
1;1;3;7.4862
1;1;3;8.6245
1;1;3;9.0600
1;1;3;1.7779
1;1;3;3.3786
1;1;3;7.7074
1;1;3;4.6427
1;1;3;8.0074
1;1;3;3.3841
1;1;3;4.8208
1;1;3;11.6628
1;1;3;3.9202
1;1;3;6.6664
1;1;3;5.2610
1;1;3;10.7762
1;1;3;11.0700
1;1;3;7.5862
1;1;3;8.1345
1;1;4;12.9823
1;1;4;17.7439
1;1;4;4.7617
1;1;4;6.8910
1;1;4;7.5243
1;1;4;11.9142
1;1;4;3.4874
1;1;4;12.2686
1;1;4;17.0302
1;1;4;7.5389
1;1;4;9.3250
1;1;4;5.4566
1;1;4;10.1387
1;1;4;8.1628
1;1;4;7.0206
1;1;4;6.2150
1;1;4;9.9757
1;1;4;14.5767
1;1;4;8.8496
1;1;4;2.7454
1;1;4;4.5771
1;1;4;4.7726
1;1;4;10.3056
1;1;4;15.0408
1;1;4;7.7001
1;1;4;1.9894
1;1;4;5.3214
1;1;4;1.4926
1;1;4;13.8416
1;1;4;3.4740
1;1;4;4.3763
1;1;4;10.2976
1;1;4;12.6939
1;1;4;5.8022
1;1;4;10.2413
1;1;4;10.7155
1;1;4;9.0576
1;1;4;4.6585
1;1;4;8.6863
1;1;4;3.2734
1;1;4;8.3441
1;1;4;6.6426
1;1;4;8.2542
1;1;4;7.3317
1;1;4;7.9585
1;1;4;15.6864
1;1;4;3.3143
1;1;4;2.0932
1;1;4;10.7940
1;1;4;14.9370
1;1;4;8.0922
1;1;4;12.5885
1;1;4;12.9733
1;1;4;2.8631
1;1;4;7.9201
1;1;4;17.0459
1;1;4;4.9585
1;1;4;2.1324
1;1;4;12.4219
1;1;4;16.2895
1;1;4;9.3979
1;1;4;13.8359
1;1;4;14.3001
1;1;4;3.5967
1;1;4;9.5643
1;1;4;1.6845
1;1;4;2.2843
1;1;4;12.2200
1;1;4;16.9817
1;1;4;5.3755
1;1;4;2.8377
1;1;4;7.8715
1;1;4;5.4108
1;1;4;3.9182
1;1;4;12.6785
1;1;4;8.2954
1;1;4;14.8977
1;1;4;16.2409
1;1;4;6.7220
1;1;4;6.3177
1;1;4;11.0444
1;1;4;5.0404
1;1;4;5.9858
1;1;4;3.8053
1;1;4;4.0070
1;1;4;4.0020
1;1;4;7.1701
1;1;4;4.2837
1;1;4;8.9909
1;1;4;10.3424
1;1;4;5.9399
1;1;4;13.2524
1;1;4;2.4301
1;1;4;5.0203
1;1;4;9.4314
1;1;4;12.0481
1;1;4;5.1429
1;1;4;9.6102
1;1;4;10.1181
1;1;4;1.3333
1;1;4;6.9939
1;1;4;3.0945
1;1;4;4.2795
1;1;4;12.0908
1;1;4;6.5655
1;1;5;11.7235
1;1;5;2.7231
1;1;5;6.0354
1;1;5;8.1874
1;1;5;10.9948
1;1;5;4.1033
1;1;5;8.5413
1;1;5;9.0054
1;1;5;2.3167
1;1;5;6.2685
1;1;5;4.2611
1;1;5;5.3309
1;1;5;10.9462
1;1;5;5.0123
1;1;5;2.0630
1;1;5;8.4771
1;1;5;5.0366
1;1;5;9.7813
1;1;5;6.6801
1;1;5;7.2489
1;1;5;1.5056
1;1;5;5.0975
1;1;5;5.2802
1;1;5;5.4709
1;1;5;5.2530
1;1;5;7.7025
1;1;5;9.0406
1;1;5;7.2076
1;1;5;2.3877
1;1;5;4.9084
1;1;5;13.9932
1;1;5;3.2247
1;1;5;3.8421
1;1;5;10.0668
1;1;5;13.2123
1;1;5;6.3250
1;1;5;10.7967
1;1;5;11.2399
1;1;5;0.9410
1;1;5;7.7092
1;1;5;2.1377
1;1;5;3.1078
1;1;5;13.1836
1;1;5;7.2771
1;1;5;1.6130
1;1;5;2.0372
1;1;5;14.5660
1;1;5;19.3276
1;1;5;7.4134
1;1;5;4.8993
1;1;5;10.8792
1;1;5;7.6320
1;1;5;6.2122
1;1;5;15.4871
1;1;5;10.6414
1;1;5;17.3172
1;1;5;18.7178
1;1;5;3.0568
1;1;5;8.3916
1;1;5;14.8978
1;1;5;11.4382
1;1;5;2.0845
1;1;5;6.3070
1;1;5;7.2801
1;1;5;10.7233
1;1;5;4.2480
1;1;5;8.2698
1;1;5;8.7339
1;1;5;3.6188
1;1;5;4.6728
1;1;5;4.3998
1;1;5;5.6460
1;1;5;10.6747
1;1;5;4.7375
1;1;5;2.5504
1;1;5;18.2932
1;1;5;5.3109
1;1;5;0.7817
1;1;5;12.5841
1;1;5;17.5795
1;1;5;10.6880
1;1;5;15.1260
1;1;5;15.5901
1;1;5;4.9954
1;1;5;9.3178
1;1;5;2.6425
1;1;5;2.2355
1;1;5;17.5309
1;1;5;11.5937
1;1;5;5.5695
1;1;5;9.4019
1;1;5;5.8182
1;1;5;10.0772
1;1;5;8.7671
1;1;5;7.0241
1;1;5;1.4767
1;1;5;4.5349
1;1;5;5.2553
1;1;5;5.7397
1;1;5;7.4612
1;1;5;8.1263
1;1;5;9.3364
1;1;5;7.9872
1;1;5;4.1725
1;1;5;5.0976
1;1;5;7.2614
1;1;5;6.0742
1;1;5;10.8265
1;1;5;5.8103
1;1;5;6.2037
1;1;5;2.5072
1;1;5;4.3737
1;1;5;4.2373
1;1;5;6.6234
1;1;5;4.5606
1;1;5;8.7445
1;1;5;10.0857
1;1;5;6.1573
1;1;5;1.5322
1;1;5;6.0604
1;1;5;4.6784
1;1;5;8.5903
1;1;5;13.3519
1;1;5;2.2172
1;1;5;5.5531
1;1;5;7.8490
1;1;5;7.5053
1;1;5;6.1664
1;1;5;10.3252
1;1;5;4.6657
1;1;5;11.3502
1;1;5;12.8804
1;1;5;3.6932
1;1;5;4.1917
1;1;5;9.5295
1;1;5;5.6358
1;1;5;18.6158
1;1;5;23.3775
1;1;5;11.4633
1;1;5;7.1774
1;1;5;13.9748
1;1;5;9.8560
1;1;5;8.6712
1;1;5;19.1713
1;1;5;14.6912
1;1;5;21.3164
1;1;5;22.6387
1;1;5;6.5211
1;1;5;12.3421
1;1;5;18.6113
1;1;5;5.0578
1;1;5;9.0947
1;1;5;13.8160
1;1;5;6.7701
1;1;5;3.2142
1;1;5;4.3142
1;1;5;2.1418
1;1;5;1.2368
1;1;5;9.5553
